id,price,dimension,address,inserted_at
1,R$ 290.000,330,"Avenida Atlântica, 3 - Santo Antonio, Eusébio - CE",2024-09-05 19:09:10.145225
2,R$ 299.000,367,"Avenida Atlântica - Bairro Cidade Alpha, Eusébio - CE",2024-09-05 19:09:10.364868
3,R$ 120.000,275,"Avenida José Amora Sá - Cidade Alpha, Eusébio - CE",2024-09-05 19:09:10.558603
4,R$ 910.000,460,"CE-040, 700 - Coacu, Eusébio - CE",2024-09-05 19:09:10.75668
5,R$ 260.000,275,"Rodovia Quarto Anel Viário, 1 - Eusebio, Eusébio - CE",2024-09-05 19:09:10.968386
6,R$ 340.000,344,"Cidade Alpha, Eusébio - CE",2024-09-05 19:09:11.195006
7,R$ 11.300.000,56664,"Encantada, Eusébio - CE",2024-09-05 19:09:11.460779
8,R$ 125.951,150,"Rua Antônio Martins Freire, 400 - Coité, Eusébio - CE",2024-09-05 19:09:11.664258
9,R$ 680.000,500,"Avenida Eusébio de Queiroz, 13 - Coité, Eusébio - CE",2024-09-05 19:09:11.874044
10,R$ 890.000,397,"Coacu, Eusébio - CE",2024-09-05 19:09:12.077441
11,R$ 119.343,150,"Coité, Eusébio - CE",2024-09-05 19:09:12.295829
12,R$ 199.760,275,"Rodovia Quarto Anel Viário - Cidade Alpha, Eusébio - CE",2024-09-05 19:09:12.502534
13,R$ 140.350,212,"CE-040 - Eusebio, Eusébio - CE",2024-09-05 19:09:12.698727
14,R$ 280.000,325,"Centro, Eusébio - CE",2024-09-05 19:09:12.90732
15,R$ 450.000,480,Eusébio - CE,2024-09-05 19:09:13.101951
16,R$ 49.900,150,"Rua Santa Adélia - Tamatanduba, Eusébio - CE",2024-09-05 19:09:13.296898
17,R$ 350.000,397,"Avenida Atlântica, 2100 - Cidade Alpha, Eusébio - CE",2024-09-05 19:09:13.488572
18,R$ 925.000,639,"Centro, Eusébio - CE",2024-09-05 19:09:13.697587
19,R$ 285.000,0,"Avenida Atlântica, SN - Cidade Alpha, Eusébio - CE",2024-09-05 19:09:13.904191
20,R$ 12.000.000,30000,"Estrada do Fio, 3335 - Eusebio, Eusébio - CE",2024-09-05 19:09:14.110594
21,R$ 6.500.000,9600,"Guaribas, Eusébio - CE",2024-09-05 19:09:14.314605
22,R$ 254.549,317,"Avenida Eusébio de Queiroz, 1 - Coité, Eusébio - CE",2024-09-05 19:09:14.524973
23,R$ 180.000,200,"Avenida Noé Leite de Freitas, 300 - Urucunema, Eusébio - CE",2024-09-05 19:09:14.726294
24,R$ 315.000,363,"Cidade Alpha, Eusébio - CE",2024-09-05 19:09:14.938729
25,R$ 320.000,330,"Cidade Alpha, Eusébio - CE",2024-09-05 19:09:15.163669
26,R$ 125.000,150,"Rua Alisson Silva dos Santos, 264 - Coité, Eusébio - CE",2024-09-05 19:09:15.364933
27,R$ 120.000,165,"Coité, Eusébio - CE",2024-09-05 19:09:15.582833
28,R$ 6.000.000,15000,"Rua Jose Bento, 127 - Amador, Eusébio - CE",2024-09-05 19:09:15.806596
29,R$ 525.000,1428,"Rua Raul Tavares, 259 - Jabuti, Eusébio - CE",2024-09-05 19:09:16.043397
30,R$ 215.000,275,"Rodovia 4º Anel Viário - Tamatanduba, Eusébio - CE",2024-09-05 19:09:16.254664
31,R$ 450.000,450,"Cidade Alpha, Eusébio - CE",2024-09-05 19:09:16.446343
32,R$ 215.000,275,"Rua José Amora Sá - Cidade Alpha, Eusébio - CE",2024-09-05 19:09:16.657573
33,R$ 155.000,233,"Jacunda, Eusébio - CE",2024-09-05 19:09:16.854816
34,R$ 220.000,315,"Eusebio, Eusébio - CE",2024-09-05 19:09:17.061651
35,R$ 125.000,150,"Tamatanduba, Eusébio - CE",2024-09-05 19:09:17.272453
36,R$ 12.000.000,30000,"Estrada do Fio, 3371 - Coacu, Eusébio - CE",2024-09-05 19:09:17.463545
37,290000.0,330,"Avenida Atlântica, 3 - Santo Antonio, Eusébio - CE",2024-09-05 19:32:55.998076
38,290000.0,330,"Avenida Atlântica - Bairro Cidade Alpha, Eusébio - CE",2024-09-05 19:32:57.275893
39,290000.0,330,"Avenida José Amora Sá - Cidade Alpha, Eusébio - CE",2024-09-05 19:32:58.588216
40,290000.0,330,"CE-040, 700 - Coacu, Eusébio - CE",2024-09-05 19:32:59.802988
41,290000.0,330,"Rodovia Quarto Anel Viário, 1 - Eusebio, Eusébio - CE",2024-09-05 19:33:01.092786
42,290000.0,330,"Cidade Alpha, Eusébio - CE",2024-09-05 19:33:02.345623
43,290000.0,330,"Encantada, Eusébio - CE",2024-09-05 19:33:03.609178
44,290000.0,330,"Rua Antônio Martins Freire, 400 - Coité, Eusébio - CE",2024-09-05 19:33:04.914191
45,290000.0,330,"Avenida Eusébio de Queiroz, 13 - Coité, Eusébio - CE",2024-09-05 19:33:06.155802
46,290000.0,330,"Coacu, Eusébio - CE",2024-09-05 19:33:07.378117
47,290000.0,330,"Coité, Eusébio - CE",2024-09-05 19:33:08.581019
48,290000.0,330,"Rodovia Quarto Anel Viário - Cidade Alpha, Eusébio - CE",2024-09-05 19:33:09.786149
49,290000.0,330,"CE-040 - Eusebio, Eusébio - CE",2024-09-05 19:33:11.025679
50,290000.0,330,"Centro, Eusébio - CE",2024-09-05 19:33:12.246762
51,290000.0,330,Eusébio - CE,2024-09-05 19:33:13.462263
52,290000.0,330,"Rua Santa Adélia - Tamatanduba, Eusébio - CE",2024-09-05 19:33:14.679807
53,290000.0,330,"Avenida Atlântica, 2100 - Cidade Alpha, Eusébio - CE",2024-09-05 19:33:15.902223
54,290000.0,330,"Centro, Eusébio - CE",2024-09-05 19:33:17.130258
55,290000.0,330,"Avenida Atlântica, SN - Cidade Alpha, Eusébio - CE",2024-09-05 19:33:18.359407
56,290000.0,330,"Estrada do Fio, 3335 - Eusebio, Eusébio - CE",2024-09-05 19:33:19.577258
57,290000.0,330,"Guaribas, Eusébio - CE",2024-09-05 19:33:20.811845
58,290000.0,330,"Avenida Eusébio de Queiroz, 1 - Coité, Eusébio - CE",2024-09-05 19:33:22.034882
59,290000.0,330,"Avenida Noé Leite de Freitas, 300 - Urucunema, Eusébio - CE",2024-09-05 19:33:23.253041
60,290000.0,330,"Cidade Alpha, Eusébio - CE",2024-09-05 19:33:24.499508
61,290000.0,330,"Cidade Alpha, Eusébio - CE",2024-09-05 19:33:25.746795
62,290000.0,330,"Rua Alisson Silva dos Santos, 264 - Coité, Eusébio - CE",2024-09-05 19:33:27.043985
63,290000.0,330,"Coité, Eusébio - CE",2024-09-05 19:33:28.301881
64,290000.0,330,"Rua Jose Bento, 127 - Amador, Eusébio - CE",2024-09-05 19:33:29.557673
65,290000.0,330,"Rua Raul Tavares, 259 - Jabuti, Eusébio - CE",2024-09-05 19:33:30.892298
66,290000.0,330,"Rodovia 4º Anel Viário - Tamatanduba, Eusébio - CE",2024-09-05 19:33:32.196873
67,290000.0,330,"Cidade Alpha, Eusébio - CE",2024-09-05 19:33:33.500737
68,290000.0,330,"Rua José Amora Sá - Cidade Alpha, Eusébio - CE",2024-09-05 19:33:34.80582
69,290000.0,330,"Jacunda, Eusébio - CE",2024-09-05 19:33:36.019478
70,290000.0,330,"Eusebio, Eusébio - CE",2024-09-05 19:33:37.2413
71,290000.0,330,"Tamatanduba, Eusébio - CE",2024-09-05 19:33:38.474943
72,290000.0,330,"Estrada do Fio, 3371 - Coacu, Eusébio - CE",2024-09-05 19:33:39.697242
73,290000.0,367,"Avenida Atlântica, 3 - Santo Antonio, Eusébio - CE",2024-09-05 19:33:40.954371
74,290000.0,367,"Avenida Atlântica - Bairro Cidade Alpha, Eusébio - CE",2024-09-05 19:33:42.252873
75,290000.0,367,"Avenida José Amora Sá - Cidade Alpha, Eusébio - CE",2024-09-05 19:33:43.475191
76,290000.0,367,"CE-040, 700 - Coacu, Eusébio - CE",2024-09-05 19:33:44.694624
77,290000.0,367,"Rodovia Quarto Anel Viário, 1 - Eusebio, Eusébio - CE",2024-09-05 19:33:46.001918
78,290000.0,367,"Cidade Alpha, Eusébio - CE",2024-09-05 19:33:47.230419
79,290000.0,367,"Encantada, Eusébio - CE",2024-09-05 19:33:48.446953
80,290000.0,367,"Rua Antônio Martins Freire, 400 - Coité, Eusébio - CE",2024-09-05 19:33:49.741457
81,290000.0,367,"Avenida Eusébio de Queiroz, 13 - Coité, Eusébio - CE",2024-09-05 19:33:50.967817
82,290000.0,367,"Coacu, Eusébio - CE",2024-09-05 19:33:52.18908
83,290000.0,367,"Coité, Eusébio - CE",2024-09-05 19:33:53.415984
84,290000.0,367,"Rodovia Quarto Anel Viário - Cidade Alpha, Eusébio - CE",2024-09-05 19:33:54.720676
85,290000.0,367,"CE-040 - Eusebio, Eusébio - CE",2024-09-05 19:33:55.94115
86,290000.0,367,"Centro, Eusébio - CE",2024-09-05 19:33:57.155951
87,290000.0,367,Eusébio - CE,2024-09-05 19:33:58.383926
88,290000.0,367,"Rua Santa Adélia - Tamatanduba, Eusébio - CE",2024-09-05 19:33:59.602907
89,290000.0,367,"Avenida Atlântica, 2100 - Cidade Alpha, Eusébio - CE",2024-09-05 19:34:00.835398
90,R$ 290.000,330,"Avenida Atlântica, 3 - Santo Antonio, Eusébio - CE",2024-09-05 19:47:28.402759
91,R$ 299.000,367,"Avenida Atlântica - Bairro Cidade Alpha, Eusébio - CE",2024-09-05 19:47:28.61865
92,R$ 120.000,275,"Avenida José Amora Sá - Cidade Alpha, Eusébio - CE",2024-09-05 19:47:28.815962
93,R$ 910.000,460,"CE-040, 700 - Coacu, Eusébio - CE",2024-09-05 19:47:29.12416
94,R$ 260.000,275,"Rodovia Quarto Anel Viário, 1 - Eusebio, Eusébio - CE",2024-09-05 19:47:29.340187
95,R$ 340.000,344,"Cidade Alpha, Eusébio - CE",2024-09-05 19:47:29.585997
96,R$ 11.300.000,56664,"Encantada, Eusébio - CE",2024-09-05 19:47:29.797687
97,R$ 125.951,150,"Rua Antônio Martins Freire, 400 - Coité, Eusébio - CE",2024-09-05 19:47:30.095401
98,R$ 680.000,500,"Avenida Eusébio de Queiroz, 13 - Coité, Eusébio - CE",2024-09-05 19:47:30.301429
99,R$ 119.343,150,"Coité, Eusébio - CE",2024-09-05 19:47:30.577128
100,R$ 199.760,275,"Rodovia Quarto Anel Viário - Cidade Alpha, Eusébio - CE",2024-09-05 19:47:30.781126
101,R$ 140.350,212,"CE-040 - Eusebio, Eusébio - CE",2024-09-05 19:47:30.983848
102,R$ 280.000,325,"Centro, Eusébio - CE",2024-09-05 19:47:31.260101
103,R$ 450.000,480,Eusébio - CE,2024-09-05 19:47:31.467022
104,R$ 49.900,150,"Rua Santa Adélia - Tamatanduba, Eusébio - CE",2024-09-05 19:47:31.696846
105,R$ 350.000,397,"Avenida Atlântica, 2100 - Cidade Alpha, Eusébio - CE",2024-09-05 19:47:31.875535
106,R$ 890.000,397,"Coacu, Eusébio - CE",2024-09-05 19:47:32.071936
107,R$ 925.000,639,"Centro, Eusébio - CE",2024-09-05 19:47:32.28973
108,R$ 285.000,0,"Avenida Atlântica, SN - Cidade Alpha, Eusébio - CE",2024-09-05 19:47:32.49137
109,R$ 12.000.000,30000,"Estrada do Fio, 3335 - Eusebio, Eusébio - CE",2024-09-05 19:47:32.708135
110,R$ 6.500.000,9600,"Guaribas, Eusébio - CE",2024-09-05 19:47:32.902497
111,R$ 254.549,317,"Avenida Eusébio de Queiroz, 1 - Coité, Eusébio - CE",2024-09-05 19:47:33.11002
112,R$ 180.000,200,"Avenida Noé Leite de Freitas, 300 - Urucunema, Eusébio - CE",2024-09-05 19:47:33.399062
113,R$ 315.000,363,"Cidade Alpha, Eusébio - CE",2024-09-05 19:47:33.595445
114,R$ 320.000,330,"Cidade Alpha, Eusébio - CE",2024-09-05 19:47:33.865659
115,R$ 125.000,150,"Rua Alisson Silva dos Santos, 264 - Coité, Eusébio - CE",2024-09-05 19:47:34.091083
116,R$ 120.000,165,"Coité, Eusébio - CE",2024-09-05 19:47:34.359524
117,R$ 6.000.000,15000,"Rua Jose Bento, 127 - Amador, Eusébio - CE",2024-09-05 19:47:34.568764
118,R$ 525.000,1428,"Rua Raul Tavares, 259 - Jabuti, Eusébio - CE",2024-09-05 19:47:34.752594
119,R$ 215.000,275,"Rodovia 4º Anel Viário - Tamatanduba, Eusébio - CE",2024-09-05 19:47:35.033415
120,R$ 450.000,450,"Cidade Alpha, Eusébio - CE",2024-09-05 19:47:35.259221
121,R$ 215.000,275,"Rua José Amora Sá - Cidade Alpha, Eusébio - CE",2024-09-05 19:47:35.457427
